vin;time;mac_address;name;vehicle_speed;latitude;longitude;altitude;battery_voltage;humidity;low_battery;temperature
WSXFP10200LD10194;2024-08-10 07:03:02.117000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.6758;45.45375250000001;10.016055000000001;100.1;2000;;false;
WSXFP10200LD10194;2024-08-10 07:06:24.659000 +00:00;7C:D9:F4:01:8F:EE;Botte;34.918;45.432802;10.016399166666666;90.3;4530;;false;
WSXFP10200LD10194;2024-08-10 07:09:49.268000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.4102;45.42027516666666;10.015364166666666;90.6;4520;;false;
WSXFP10200LD10194;2024-08-10 07:13:16.098000 +00:00;7C:D9:F4:01:8F:EE;Botte;36.1953;45.4094555;10.006171333333333;83.9;4540;;false;
WSXFP10200LD10194;2024-08-10 07:16:22.439000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.40783483333333;10.003082499999998;90.8;4490;;false;
WSXFP10200LD10194;2024-08-10 07:23:46.804000 +00:00;7C:D9:F4:01:8F:EE;Botte;2.45703;45.40772666666667;10.003071166666665;65.7;4520;;false;
WSXFP10200LD10194;2024-08-10 07:24:57.734000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.40782049999999;10.003110333333334;67.5;4530;;false;
WSXFP10200LD10194;2024-08-10 07:32:48.578000 +00:00;7C:D9:F4:01:8F:EE;Botte;26.3008;45.41190183333333;10.007213833333331;82.3;2000;;false;
WSXFP10200LD10194;2024-08-10 07:36:12.376000 +00:00;7C:D9:F4:01:8F:EE;Botte;43.5547;45.42014833333333;10.0153785;73.6;2000;;false;
WSXFP10200LD10194;2024-08-10 07:39:39.866000 +00:00;7C:D9:F4:01:8F:EE;Botte;35.5391;45.43485066666667;10.016636499999999;88.9;2930;;false;
WSXFP10200LD10194;2024-08-10 07:43:18.969000 +00:00;7C:D9:F4:01:8F:EE;Botte;47.5977;45.45607199999999;10.018903833333335;91.5;4530;;false;
WSXFP10200LD10194;2024-08-10 07:46:28.913000 +00:00;7C:D9:F4:01:8F:EE;Botte;50.8008;45.47378366666667;10.040241;98.6;4520;;false;
WSXFP10200LD10194;2024-08-10 07:49:55.279000 +00:00;7C:D9:F4:01:8F:EE;Botte;46.7305;45.486855500000004;10.039382;97.8;2000;;false;
WSXFP10200LD10194;2024-08-10 07:54:11.760000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.491893833333336;10.046720833333334;108.3;2930;;false;
WSXFP10200LD10194;2024-08-10 07:57:29.486000 +00:00;7C:D9:F4:01:8F:EE;Botte;8.20703;45.49189416666666;10.046703666666668;98.1;2000;;false;
WSXFP10200LD10194;2024-08-10 07:58:55.376000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.491866166666654;10.047379;113.1;2030;;false;
WSXFP10200LD10194;2024-08-10 08:02:23.235000 +00:00;7C:D9:F4:01:8F:EE;Botte;1.52734;45.49191533333333;10.047396333333335;94;2000;;false;
WSXFP10200LD10194;2024-08-10 08:05:47.336000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.4258;45.48357266666667;10.038863;104;4530;;false;
WSXFP10200LD10194;2024-08-10 08:09:10.936000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.3672;45.469977333333325;10.035563666666668;106.9;2010;;false;
WSXFP10200LD10194;2024-08-10 08:12:35.087000 +00:00;7C:D9:F4:01:8F:EE;Botte;52.0938;45.45118083333333;10.015205166666666;79.9;2000;;false;
WSXFP10200LD10194;2024-08-10 08:16:05.208000 +00:00;7C:D9:F4:01:8F:EE;Botte;24.5195;45.431320333333325;10.015089333333332;74.8;4210;;false;
WSXFP10200LD10194;2024-08-10 08:19:26.344000 +00:00;7C:D9:F4:01:8F:EE;Botte;17.4883;45.41619049999999;10.010965833333335;76.9;2010;;false;
WSXFP10200LD10194;2024-08-10 08:22:53.779000 +00:00;7C:D9:F4:01:8F:EE;Botte;15.3086;45.407274666666666;10.004476666666667;73;2000;;false;
WSXFP10200LD10194;2024-08-10 08:25:11.679000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.40786033333333;10.003011166666665;71.2;2000;;false;
WSXFP10200LD10194;2024-08-10 08:29:51.736000 +00:00;7C:D9:F4:01:8F:EE;Botte;2.875;45.407856166666676;10.003032833333334;70.9;2000;;false;
WSXFP10200LD10194;2024-08-10 08:33:18.343000 +00:00;7C:D9:F4:01:8F:EE;Botte;21.5938;45.40911016666667;10.006078666666665;72.6;4530;;false;
WSXFP10200LD10194;2024-08-10 08:36:43.252000 +00:00;7C:D9:F4:01:8F:EE;Botte;9.39844;45.41649683333334;10.013745833333333;69.6;2000;;false;
WSXFP10200LD10194;2024-08-10 08:40:09.789000 +00:00;7C:D9:F4:01:8F:EE;Botte;27.8633;45.43257499999999;10.015853666666667;82.4;4530;;false;
WSXFP10200LD10194;2024-08-10 08:43:34.172000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.2461;45.45110450000001;10.015207833333331;90;4490;;false;
WSXFP10200LD10194;2024-08-10 08:46:58.400000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.2969;45.469972166666665;10.035585333333334;98.4;3060;;false;
WSXFP10200LD10194;2024-08-10 08:50:22.972000 +00:00;7C:D9:F4:01:8F:EE;Botte;33.4531;45.482768166666666;10.038533;126;2000;;false;
WSXFP10200LD10194;2024-08-10 08:53:47.121000 +00:00;7C:D9:F4:01:8F:EE;Botte;12.1836;45.49171166666666;10.046724499999998;107;2080;;false;
WSXFP10200LD10194;2024-08-10 08:55:18.484000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.49182783333334;10.047345333333334;110.2;4550;;false;
WSXFP10200LD10194;2024-08-10 08:57:11.988000 +00:00;7C:D9:F4:01:8F:EE;Botte;11.8086;45.49173416666667;10.046999666666666;110.4;2000;;false;
WSXFP10200LD10194;2024-08-10 08:59:14.740000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.490622;10.045612666666667;103.2;2000;;false;
WSXFP10200LD10194;2024-08-10 09:02:32.424000 +00:00;7C:D9:F4:01:8F:EE;Botte;1.62891;45.49059566666666;10.045650666666667;143.9;2070;;false;
WSXFP10200LD10194;2024-08-10 09:04:16.384000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.490429666666664;10.044876166666667;126.9;2000;;false;
WSXFP10200LD10194;2024-08-10 09:09:54.007000 +00:00;7C:D9:F4:01:8F:EE;Botte;3.03906;45.490353333333324;10.044790166666667;116.6;2000;;false;
WSXFP10200LD10194;2024-08-10 09:11:41.088000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.490877;10.044097833333332;117.1;2030;;false;
WSXFP10200LD10194;2024-08-12 04:08:59.353000 +00:00;7C:D9:F4:01:8F:EE;Botte;4.92578;45.490799333333335;10.044277333333334;114.1;2000;;false;
WSXFP10200LD10194;2024-08-12 04:12:25.719000 +00:00;7C:D9:F4:01:8F:EE;Botte;16.8516;45.48491183333334;10.052986333333335;104.9;2000;;false;
WSXFP10200LD10194;2024-08-12 04:15:49.329000 +00:00;7C:D9:F4:01:8F:EE;Botte;17.9766;45.487467;10.064419333333333;112.5;2000;;false;
WSXFP10200LD10194;2024-08-12 04:19:03.542000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.48640749999999;10.066356833333332;106.6;2000;;false;
WSXFP10200LD10194;2024-08-12 05:01:07.611000 +00:00;7C:D9:F4:01:8F:EE;Botte;4.5;45.48653866666667;10.066404666666667;110.5;2000;;false;
WSXFP10200LD10194;2024-08-12 05:04:57.680000 +00:00;7C:D9:F4:01:8F:EE;Botte;29.5078;45.48501400000001;10.052596833333332;123.7;2000;;false;
WSXFP10200LD10194;2024-08-12 05:09:02.787000 +00:00;7C:D9:F4:01:8F:EE;Botte;0.00390625;45.491907000000005;10.046779666666668;117;2000;;false;
WSXFP10200LD10194;2024-08-12 05:12:08.699000 +00:00;7C:D9:F4:01:8F:EE;Botte;8.33594;45.49193033333333;10.046726333333332;110.1;2000;;false;
WSXFP10200LD10194;2024-08-12 05:16:09.528000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.49035133333334;10.046122166666667;122.6;4340;;false;
WSXFP10200LD10194;2024-08-12 05:17:10.769000 +00:00;7C:D9:F4:01:8F:EE;Botte;23.0313;45.48970516666666;10.045980166666668;118.8;2000;;false;
WSXFP10200LD10194;2024-08-12 05:20:20.975000 +00:00;7C:D9:F4:01:8F:EE;Botte;27.875;45.48753416666667;10.053756666666667;113.4;4080;;false;
WSXFP10200LD10194;2024-08-12 05:23:47.714000 +00:00;7C:D9:F4:01:8F:EE;Botte;14.3281;45.48625099999999;10.066316333333333;117;4070;;false;
WSXFP10200LD10194;2024-08-12 05:25:10.077000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.48660783333334;10.066498166666666;123.5;3100;;false;
WSXFP10200LD10194;2024-08-12 05:32:49.330000 +00:00;7C:D9:F4:01:8F:EE;Botte;4.82813;45.486642333333336;10.066458666666668;123.3;2000;;false;
WSXFP10200LD10194;2024-08-12 05:33:03.082000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;0.0664063;45.486475333333324;10.066361;123.3;2000;;false;
WSXFP10200LD10194;2024-08-12 05:36:20.332000 +00:00;7C:D9:F4:01:8F:EE;Botte;49.9961;45.48462883333334;10.056433666666665;123.5;2000;;false;
WSXFP10200LD10194;2024-08-12 05:39:47.079000 +00:00;7C:D9:F4:01:8F:EE;Botte;17.4023;45.491701;10.046611166666667;105.8;4090;;false;
WSXFP10200LD10194;2024-08-12 05:40:54.340000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.49183033333334;10.046723333333333;90.2;4070;;false;
WSXFP10200LD10194;2024-08-12 05:43:54.455000 +00:00;7C:D9:F4:01:8F:EE;Botte;8.17969;45.49184199999999;10.046710833333332;93.9;2000;;false;
WSXFP10200LD10194;2024-08-12 05:50:20.376000 +00:00;7C:D9:F4:01:8F:EE;Botte;23.8164;45.48735583333334;10.064921166666666;108.5;3100;;false;
WSXFP10200LD10194;2024-08-12 05:53:11.181000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;0;45.48644533333333;10.066978500000001;104.7;2960;;false;
WSXFP10200LD10194;2024-08-12 05:53:12.581000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.4864465;10.066978166666667;104;4110;;false;
WSXFP10200LD10194;2024-08-12 05:58:59.448000 +00:00;7C:D9:F4:01:8F:EE;Botte;2.91406;45.486421166666666;10.066899166666667;92.8;4070;;false;
WSXFP10200LD10194;2024-08-12 06:01:25.852000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.486342500000006;10.066548833333334;102.6;2000;;false;
WSXFP10200LD10194;2024-08-12 06:04:41.244000 +00:00;7C:D9:F4:01:8F:EE;Botte;1.10547;45.4863595;10.066555333333334;106.6;2000;;false;
WSXFP10200LD10194;2024-08-12 06:06:40.323000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.48641283333333;10.066953333333334;114.6;4090;;false;
WSXFP10200LD10194;2024-08-12 06:09:50.033000 +00:00;7C:D9:F4:01:8F:EE;Botte;0.738281;45.48649283333333;10.066938333333333;95.4;2000;;false;
WSXFP10200LD10194;2024-08-12 06:11:54.496000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.487095333333336;10.067054166666667;111.5;4110;;false;
WSXFP10200LD10194;2024-08-12 06:12:56.755000 +00:00;7C:D9:F4:01:8F:EE;Botte;1.10547;45.487077500000005;10.067095166666666;106.3;2000;;false;
WSXFP10200LD10194;2024-08-12 06:15:23.034000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.486578333333334;10.067040500000001;134.5;4150;;false;
WSXFP10200LD10194;2024-08-12 06:21:52.091000 +00:00;7C:D9:F4:01:8F:EE;Botte;9.69531;45.486533166666675;10.067230166666667;96.4;4120;;false;
