vin;time;mac_address;name;vehicle_speed;latitude;longitude;altitude;battery_voltage;humidity;low_battery;temperature
WSXFN60200LD10033;2024-08-01 06:25:33.055000 +00:00;7C:D9:F4:00:C1:FB;MG1_F0C8F0;0;45.49053666666667;10.044258833333334;101.9;2000;;false;
WSXFN60200LD10033;2024-08-01 06:25:34.241000 +00:00;7C:D9:F4:01:6B:D3;MG1_01C8F0;0;45.49053666666667;10.044258833333334;101.9;3650;;false;
WSXFN60200LD10033;2024-08-01 06:25:35.266000 +00:00;7C:D9:F4:00:7A:11;MG1_D9C8F0;0;45.49053666666667;10.044258833333334;101.9;3650;;false;
WSXFN60200LD10033;2024-08-01 06:25:36.512000 +00:00;7C:D9:F4:02:F6:CB;MG1_31C8F0;0;45.49053683333334;10.044257333333334;101.4;4200;;false;
WSXFN60200LD10033;2024-08-01 06:25:37.586000 +00:00;7C:D9:F4:03:0F:87;MG1_1AC8F0;0;45.49053683333334;10.044257333333334;101.4;2000;;false;
WSXFN60200LD10033;2024-08-01 06:25:38.652000 +00:00;7C:D9:F4:00:B6:53;MG1_F0C8F0;0;45.49053683333334;10.044257333333334;101.4;3650;;false;
WSXFN60200LD10033;2024-08-01 06:25:43.144000 +00:00;7C:D9:F4:04:2A:A9;MG1_FAC8F0;0;45.49053683333334;10.044257333333334;101.4;3640;;false;
WSXFN60200LD10033;2024-08-01 06:25:49.157000 +00:00;7C:D9:F4:01:45:0D;MG1_11C8F0;0;45.49053683333334;10.044257333333334;101.4;2000;;false;
WSXFN60200LD10033;2024-08-01 06:25:50.243000 +00:00;7C:D9:F4:04:9E:3E;MG1_FBC8F0;0;45.49053683333334;10.044257333333334;101.4;2000;;false;
WSXFN60200LD10033;2024-08-01 06:25:51.053000 +00:00;7C:D9:F4:03:E0:A0;MG1_FEC8F0;0;45.49053683333334;10.044257333333334;101.4;2820;;false;
WSXFN60200LD10033;2024-08-01 06:25:51.882000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.49053683333334;10.044257333333334;101.4;2000;;false;
WSXFN60200LD10033;2024-08-01 06:25:52.611000 +00:00;7C:D9:F4:03:11:54;MG1_0CC8F0;0;45.49053683333334;10.044257333333334;101.4;2000;;false;
WSXFN60200LD10033;2024-08-01 06:25:53.390000 +00:00;7C:D9:F4:04:E4:A8;MG1_F7C8F0;0;45.49053666666667;10.044255666666668;101.1;2960;;false;
WSXFN60200LD10033;2024-08-01 06:29:50.666000 +00:00;7C:D9:F4:01:6B:D3;MG1_01C8F0;0.910156;45.4905215;10.044280333333333;124.1;2000;;false;
WSXFN60200LD10033;2024-08-01 06:29:52.280000 +00:00;7C:D9:F4:00:7A:11;MG1_D9C8F0;0.992188;45.4905215;10.044280333333333;124.1;2000;;false;
WSXFN60200LD10033;2024-08-01 06:29:53.305000 +00:00;7C:D9:F4:02:F6:CB;MG1_31C8F0;0.992188;45.49052116666667;10.044282;124.2;2000;;false;
WSXFN60200LD10033;2024-08-01 06:29:54.586000 +00:00;7C:D9:F4:04:2A:A9;MG1_FAC8F0;0.992188;45.49052116666667;10.044282;124.2;3650;;false;
WSXFN60200LD10033;2024-08-01 06:29:55.587000 +00:00;7C:D9:F4:04:9E:3E;MG1_FBC8F0;0.992188;45.49052116666667;10.044282;124.2;3650;;false;
